['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed3_best.controller', '0', '20', [0.219208, 0.987006, 0.865396],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed3_best.controller', '0', '20', [0.218948, 0.987008, 0.864962],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed3_best.controller', '0', '20', [0.21847, 0.987012, 0.86457],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed3_best.controller', '0', '20', [0.218278, 0.987014, 0.864445],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed3_best.controller', '0', '20', [0.217928, 0.987016, 0.863838],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed3_best.controller', '0', '20', [0.21897, 0.987008, 0.864997],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed3_best.controller', '0', '20', [0.217041, 0.987023, 0.862496],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed4_best.controller', '0', '20', [0.186616, 0.999948, 0.74175],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed4_best.controller', '0', '20', [0.186914, 0.999948, 0.74169],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed4_best.controller', '0', '20', [0.190946, 0.999949, 0.739308],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed4_best.controller', '0', '20', [0.193123, 0.999949, 0.73867],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed4_best.controller', '0', '20', [0.192592, 0.999949, 0.738346],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed4_best.controller', '0', '20', [0.186655, 0.999948, 0.741581],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed4_best.controller', '0', '20', [0.194264, 0.999948, 0.737099],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed4_best.controller', '0', '20', [-0.0168295, 0.998804, 0.921255],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed4_best.controller', '0', '20', [-0.0169925, 0.99883, 0.920728],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed4_best.controller', '0', '20', [-0.0175218, 0.998835, 0.91958],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed4_best.controller', '0', '20', [-0.0177406, 0.998821, 0.919335],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed4_best.controller', '0', '20', [-0.0180203, 0.998836, 0.91841],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed4_best.controller', '0', '20', [-0.0169849, 0.998817, 0.920723],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed4_best.controller', '0', '20', [-0.0185946, 0.99887, 0.916583],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed4_best.controller', '0', '20', [-0.318146, 0.969942, 0.091379],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed4_best.controller', '0', '20', [-0.316982, 0.969855, 0.092033],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed4_best.controller', '0', '20', [-0.31342, 0.969599, 0.0955134],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed4_best.controller', '0', '20', [-0.31275, 0.96955, 0.0962938],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed4_best.controller', '0', '20', [-0.30872, 0.969291, 0.100022],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed4_best.controller', '0', '20', [-0.316825, 0.969829, 0.0921498],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed4_best.controller', '0', '20', [-0.30185, 0.968794, 0.105989],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed4_best.controller', '0', '20', [-0.0443251, 0.996945, 0.815534],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed4_best.controller', '0', '20', [-0.0443322, 0.996949, 0.815479],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed4_best.controller', '0', '20', [-0.0442403, 0.996966, 0.815324],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed4_best.controller', '0', '20', [-0.0442891, 0.996962, 0.81533],8]
