['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '9', '20', [0.144949, 0.879838, 0.678707]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '10', '20', [0.157765, 0.870847, 0.614771]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '11', '20', [0.170466, 0.862187, 0.558175]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '12', '20', [0.164149, 0.865832, 0.58668]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '1', '20', [0.0650264, 0.991709, 0.942384]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '2', '20', [0.0650264, 0.991709, 0.942384]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '3', '20', [0.0646462, 0.993615, 0.930583]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '4', '20', [0.0649622, 0.99194, 0.940352]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '5', '20', [0.0656106, 0.991664, 0.943558]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_8_seed2_best.controller', '6', '20', [0.0650029, 0.991827, 0.941786]]
